"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 18 13:46:56 GMT 2024","Mon Nov 18 13:47:04 GMT 2024","8326","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeManuallyTest","User should be able to create build type manually",""
"passed","Mon Nov 18 13:45:47 GMT 2024","Mon Nov 18 13:45:47 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Mon Nov 18 13:45:47 GMT 2024","Mon Nov 18 13:46:13 GMT 2024","26220","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesTest","User should be able to create project",""
"passed","Mon Nov 18 13:47:04 GMT 2024","Mon Nov 18 13:47:10 GMT 2024","5603","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutNameAndIdTest","User should not be able to create build type without name and id",""
"passed","Mon Nov 18 13:46:41 GMT 2024","Mon Nov 18 13:46:55 GMT 2024","14182","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeFromRepositoryURLTest","User should be able to create build type from a repository URL",""
"passed","Mon Nov 18 13:47:10 GMT 2024","Mon Nov 18 13:47:15 GMT 2024","4768","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutRepositoryURLTest","User should not be able to create build type without a repository URL",""
"broken","Mon Nov 18 13:46:13 GMT 2024","Mon Nov 18 13:46:41 GMT 2024","27475","Surefire suite","Surefire test","com.example.teamcity.ui.RunBuildTypeTest","com.example.teamcity.ui.RunBuildTypeTest","userRunsBuildTypeTest","User should be able to run build",""
"passed","Mon Nov 18 13:45:06 GMT 2024","Mon Nov 18 13:45:46 GMT 2024","40413","Surefire suite","Surefire test","com.example.teamcity.ui.SearchTest","com.example.teamcity.ui.SearchTest","userSearchProjectByNameTest","User should be able to search project by name",""
"passed","Mon Nov 18 13:44:00 GMT 2024","Mon Nov 18 13:44:53 GMT 2024","53405","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
