"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 18 14:28:50 GMT 2024","Mon Nov 18 14:28:50 GMT 2024","6","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Mon Nov 18 14:29:58 GMT 2024","Mon Nov 18 14:30:05 GMT 2024","7427","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeManuallyTest","User should be able to create build type manually",""
"passed","Mon Nov 18 14:30:05 GMT 2024","Mon Nov 18 14:30:11 GMT 2024","5448","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutNameAndIdTest","User should not be able to create build type without name and id",""
"broken","Mon Nov 18 14:29:17 GMT 2024","Mon Nov 18 14:29:44 GMT 2024","27467","Surefire suite","Surefire test","com.example.teamcity.ui.RunBuildTypeTest","com.example.teamcity.ui.RunBuildTypeTest","userRunsBuildTypeTest","User should be able to run build",""
"passed","Mon Nov 18 14:29:45 GMT 2024","Mon Nov 18 14:29:58 GMT 2024","12699","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeFromRepositoryURLTest","User should be able to create build type from a repository URL",""
"passed","Mon Nov 18 14:30:11 GMT 2024","Mon Nov 18 14:30:16 GMT 2024","4870","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutRepositoryURLTest","User should not be able to create build type without a repository URL",""
"passed","Mon Nov 18 14:28:50 GMT 2024","Mon Nov 18 14:29:17 GMT 2024","26796","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesTest","User should be able to create project",""
"passed","Mon Nov 18 14:27:03 GMT 2024","Mon Nov 18 14:27:57 GMT 2024","53606","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Mon Nov 18 14:28:10 GMT 2024","Mon Nov 18 14:28:49 GMT 2024","39445","Surefire suite","Surefire test","com.example.teamcity.ui.SearchTest","com.example.teamcity.ui.SearchTest","userSearchProjectByNameTest","User should be able to search project by name",""
