"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 18 14:36:36 GMT 2024","Mon Nov 18 14:36:37 GMT 2024","397","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"passed","Mon Nov 18 14:36:33 GMT 2024","Mon Nov 18 14:36:34 GMT 2024","578","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"broken","Mon Nov 18 14:36:37 GMT 2024","Mon Nov 18 14:36:41 GMT 2024","4234","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userRunsBuildTypeTest","User should be able to run build",""
"passed","Mon Nov 18 14:36:30 GMT 2024","Mon Nov 18 14:36:32 GMT 2024","2176","Surefire suite","Surefire test","com.example.teamcity.api.SearchTest","com.example.teamcity.api.SearchTest","userSearchesProjectByNameTest","User should be able to search project by name",""
"passed","Mon Nov 18 14:35:13 GMT 2024","Mon Nov 18 14:36:14 GMT 2024","60047","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Mon Nov 18 14:36:34 GMT 2024","Mon Nov 18 14:36:35 GMT 2024","1131","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Mon Nov 18 14:36:33 GMT 2024","Mon Nov 18 14:36:33 GMT 2024","432","Surefire suite","Surefire test","com.example.teamcity.api.SearchTest","com.example.teamcity.api.SearchTest","userSearchesUserByIdTest","User should be able to search user by id",""
"passed","Mon Nov 18 14:36:36 GMT 2024","Mon Nov 18 14:36:36 GMT 2024","416","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
