"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 18 14:38:31 GMT 2024","Mon Nov 18 14:38:37 GMT 2024","6187","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutRepositoryURLTest","User should not be able to create build type without a repository URL",""
"passed","Mon Nov 18 14:38:24 GMT 2024","Mon Nov 18 14:38:30 GMT 2024","5728","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutNameAndIdTest","User should not be able to create build type without name and id",""
"broken","Mon Nov 18 14:37:33 GMT 2024","Mon Nov 18 14:38:00 GMT 2024","26599","Surefire suite","Surefire test","com.example.teamcity.ui.RunBuildTypeTest","com.example.teamcity.ui.RunBuildTypeTest","userRunsBuildTypeTest","User should be able to run build",""
"passed","Mon Nov 18 14:38:17 GMT 2024","Mon Nov 18 14:38:24 GMT 2024","6921","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeManuallyTest","User should be able to create build type manually",""
"failed","Mon Nov 18 14:37:01 GMT 2024","Mon Nov 18 14:37:33 GMT 2024","31666","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesTest","User should be able to create project",""
"passed","Mon Nov 18 14:37:01 GMT 2024","Mon Nov 18 14:37:01 GMT 2024","3","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Mon Nov 18 14:38:00 GMT 2024","Mon Nov 18 14:38:17 GMT 2024","17203","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeFromRepositoryURLTest","User should be able to create build type from a repository URL",""
"passed","Mon Nov 18 14:36:19 GMT 2024","Mon Nov 18 14:37:00 GMT 2024","40950","Surefire suite","Surefire test","com.example.teamcity.ui.SearchTest","com.example.teamcity.ui.SearchTest","userSearchProjectByNameTest","User should be able to search project by name",""
"passed","Mon Nov 18 14:35:16 GMT 2024","Mon Nov 18 14:36:06 GMT 2024","49754","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
