"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 21 16:23:11 GMT 2024","Thu Nov 21 16:23:11 GMT 2024","474","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Thu Nov 21 16:23:09 GMT 2024","Thu Nov 21 16:23:09 GMT 2024","276","Surefire suite","Surefire test","com.example.teamcity.api.SearchTest","com.example.teamcity.api.SearchTest","userSearchesUserByIdTest","User should be able to search user by id",""
"passed","Thu Nov 21 16:23:06 GMT 2024","Thu Nov 21 16:23:08 GMT 2024","1805","Surefire suite","Surefire test","com.example.teamcity.api.SearchTest","com.example.teamcity.api.SearchTest","userSearchesProjectByNameTest","User should be able to search project by name",""
"passed","Thu Nov 21 16:22:44 GMT 2024","Thu Nov 21 16:22:52 GMT 2024","8286","Surefire suite","Surefire test","com.example.teamcity.api.SetupAgentTest","com.example.teamcity.api.SetupAgentTest","setupAgentTest","setupAgentTest",""
"passed","Thu Nov 21 16:23:10 GMT 2024","Thu Nov 21 16:23:11 GMT 2024","771","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Thu Nov 21 16:23:12 GMT 2024","Thu Nov 21 16:23:12 GMT 2024","298","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"passed","Thu Nov 21 16:23:09 GMT 2024","Thu Nov 21 16:23:10 GMT 2024","577","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Thu Nov 21 16:23:12 GMT 2024","Thu Nov 21 16:23:28 GMT 2024","16428","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userRunsBuildTypeTest","User should be able to run build",""
