"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 21 16:22:55 GMT 2024","Thu Nov 21 16:23:32 GMT 2024","36956","Surefire suite","Surefire test","com.example.teamcity.ui.SearchTest","com.example.teamcity.ui.SearchTest","userSearchProjectByNameTest","User should be able to search project by name",""
"passed","Thu Nov 21 16:24:25 GMT 2024","Thu Nov 21 16:24:32 GMT 2024","7471","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeManuallyTest","User should be able to create build type manually",""
"passed","Thu Nov 21 16:24:38 GMT 2024","Thu Nov 21 16:24:44 GMT 2024","5839","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutRepositoryURLTest","User should not be able to create build type without a repository URL",""
"passed","Thu Nov 21 16:23:53 GMT 2024","Thu Nov 21 16:24:13 GMT 2024","19662","Surefire suite","Surefire test","com.example.teamcity.ui.RunBuildTypeTest","com.example.teamcity.ui.RunBuildTypeTest","userRunsBuildTypeTest","User should be able to run build",""
"passed","Thu Nov 21 16:24:13 GMT 2024","Thu Nov 21 16:24:24 GMT 2024","11233","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeFromRepositoryURLTest","User should be able to create build type from a repository URL",""
"passed","Thu Nov 21 16:23:32 GMT 2024","Thu Nov 21 16:23:32 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Thu Nov 21 16:23:32 GMT 2024","Thu Nov 21 16:23:53 GMT 2024","20392","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesTest","User should be able to create project",""
"passed","Thu Nov 21 16:24:32 GMT 2024","Thu Nov 21 16:24:38 GMT 2024","5325","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutNameAndIdTest","User should not be able to create build type without name and id",""
"passed","Thu Nov 21 16:22:35 GMT 2024","Thu Nov 21 16:22:44 GMT 2024","8382","Surefire suite","Surefire test","com.example.teamcity.api.SetupAgentTest","com.example.teamcity.api.SetupAgentTest","setupAgentTest","setupAgentTest",""
